"","registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude","distance"
"1814",409600099,9,7,55858,12.5317770059794,4.4137155,114.5653908,30505.8149287826
"1815",409600099,13,19,23307,81.5205732183464,4.4137155,114.5653908,30505.8149287826
"1816",409600099,5,0,90381,0,4.4137155,114.5653908,30505.8149287826
"1817",409600099,6,0,79451,0,4.4137155,114.5653908,30505.8149287826
"1818",409600099,2,0,92277,0,4.4137155,114.5653908,30505.8149287826
"1819",409600099,12,13,36089,36.0220565823381,4.4137155,114.5653908,30505.8149287826
"1820",409600099,3,0,98129,0,4.4137155,114.5653908,30505.8149287826
"1821",409600099,15,26,11209,231.956463556071,4.4137155,114.5653908,30505.8149287826
"1822",409600099,8,2,60226,3.3208248929034,4.4137155,114.5653908,30505.8149287826
"1823",409600099,11,14,45720,30.6211723534558,4.4137155,114.5653908,30505.8149287826
"1824",409600099,14,28,14493,193.196715655834,4.4137155,114.5653908,30505.8149287826
"1825",409600099,1,0,82542,0,4.4137155,114.5653908,30505.8149287826
"1826",409600099,10,7,50778,13.7854976564654,4.4137155,114.5653908,30505.8149287826
"1827",409600099,7,0,69748,0,4.4137155,114.5653908,30505.8149287826
"1828",409600099,4,0,97857,0,4.4137155,114.5653908,30505.8149287826
"1829",415600199,5,9,3390423,0.265453602692053,39.906217,116.3912757,144066.09725901
"1830",415600199,1,0,1336530,0,39.906217,116.3912757,144066.09725901
"1831",415600199,18,1784,532625,334.944848627083,39.906217,116.3912757,144066.09725901
"1832",415600199,11,1476,3605306,40.9396594907617,39.906217,116.3912757,144066.09725901
"1833",415600199,14,2678,1475530,181.494107202158,39.906217,116.3912757,144066.09725901
"1834",415600199,4,0,1679912,0,39.906217,116.3912757,144066.09725901
"1835",415600199,10,858,3745627,22.9067122807477,39.906217,116.3912757,144066.09725901
"1836",415600199,15,4568,1687436,270.706563093356,39.906217,116.3912757,144066.09725901
"1837",415600199,6,16,3645905,0.438848516349164,39.906217,116.3912757,144066.09725901
"1838",415600199,9,296,2985156,9.91572969720845,39.906217,116.3912757,144066.09725901
"1839",415600199,16,4987,1399697,356.291397352427,39.906217,116.3912757,144066.09725901
"1840",415600199,2,0,963204,0,39.906217,116.3912757,144066.09725901
"1841",415600199,17,3163,792117,399.309697936037,39.906217,116.3912757,144066.09725901
"1842",415600199,3,0,1047771,0,39.906217,116.3912757,144066.09725901
"1843",415600199,8,131,2779925,4.71235734777017,39.906217,116.3912757,144066.09725901
"1844",415600199,13,2160,1901639,113.586227459576,39.906217,116.3912757,144066.09725901
"1845",415600199,12,2185,3043170,71.8001294702564,39.906217,116.3912757,144066.09725901
