"","incidence_rate_100000","discription","registry_code","latitude","longitude","distance"
"1",459.290317378603,"China, Beijing",415600199,39.906217,116.3912757,144066.09725901
"2",659.879069372265,"China, Qidong County",415600299,26.7715732,112.0560184,429629.941190186
"3",530.145374763951,"China, Shanghai City",415600399,31.2252985,121.4890497,16508.6863146086
"4",611.80934313493,"China, Jiashan County",415600799,30.8969393,120.8874525,38050.8267191053
"5",317.940953822861,"China, Linzhou County",415600899,36.0673949,113.8105402,431129.693217329
"6",523.813096734257,"China, Wuhan City",415600999,30.6667682,114.3715539,525700.715782905
"7",779.898738954055,"China, Anshan City",415601299,40.822222,122.8275,55975.7967433266
"8",513.891119319094,"China, Zhongshan City",415601499,22.5213807,113.3656141,14451.6312409379
"9",445.675740785353,"China, Harbin City, Nangang District",415601599,45.6991743,126.5919596,468248.180293483
"10",276.188597356481,"China, Shexian County",415601699,29.8635777,118.4101129,171614.083719517
"11",558.823529411765,"China, Yanting County",415601899,31.253476,105.4705025,1073819.80475461
"12",410.676047721016,"China, Hangzhou City",415602199,30.2489634,120.2052342,251.390414061251
"13",693.705267021472,"China, Jiaxing City",415602399,30.6509396,120.7831656,22139.9153263638
"14",508.710143167496,"China, Guangzhou",415602499,23.1301964,113.2592945,15194.5182025909
"15",619.546698332387,"China, Haimen County",415602599,31.8729183,121.1771295,3606.59080463485
"16",611.0183639399,"China, Hong Kong",415603099,22.350627,114.1849161,3745.47596624988
"17",1253.950453665,"China, Benxi",415603199,41.297577,123.7646562,142665.346323562
"18",332.871012482663,"China, Jianhu County",415603299,33.4826164,119.8160643,64713.3469182037
"19",366.413561716405,"China, Guanyun",415605199,34.297019,119.247985,43927.9901836132
"20",916.195095661547,"China, Hefei",415605399,31.7509529,117.3322844,220527.046321286
"21",270.518110958276,"China, Hengdong",415605499,27.0843342,112.9480217,441575.644634717
"22",354.423369790946,"China, Huaiyin District, Huai'an",415605799,33.6350534,119.0054308,115988.145776602
"23",668.78258898209,"China, Jiangmen",415606099,22.5766294,113.079047,8842.90316841218
"24",403.446389496718,"China, Lianyungang",415606899,34.6092633,119.1695305,11801.1405377094
"25",617.425985580611,"China, Liuzhou",415607199,24.3285821,109.409259,276788.21291739
"26",1276.15651684339,"China, Maanshan",415607599,31.6866105,118.5048377,118504.575823071
"27",663.685274845958,"China, Shenyang",415608399,41.8041094,123.4276363,158262.673449127
"28",275.846432889964,"China, Sheyang",415608499,33.7749116,120.2562202,16841.8938343654
"29",1464.12884333821,"China, Tongling City",415608899,30.887432,117.5915732,240147.005960888
"30",418.550350240946,"China, Wuxi",415609299,31.5776264,120.2951311,37245.2808450181
"31",496.277915632754,"China, Xianju",415609399,31.4008032,112.035339,722195.529011179
"32",764.614789005033,"China, Xiping",415609699,33.3833188,114.0209155,499825.992038774
"33",402.62451535938,"China, Yanshi",415609999,34.7333075,112.7677155,587677.178951221
"34",450.888968591484,"China, Zhuhai",415610599,22.2305196,113.5462439,1110.86838382277
