"","registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude","distance"
"620",312400199,9,35,695012,5.03588427250177,55.001251,-115.002136,798982.413527085
"621",312400199,14,730,302023,241.703446426266,55.001251,-115.002136,798982.413527085
"622",312400199,10,89,753427,11.8126905459985,55.001251,-115.002136,798982.413527085
"623",312400199,15,889,219428,405.144284229907,55.001251,-115.002136,798982.413527085
"624",312400199,6,4,810491,0.493527997226373,55.001251,-115.002136,798982.413527085
"625",312400199,1,1,623684,0.160337606865015,55.001251,-115.002136,798982.413527085
"626",312400199,4,0,636438,0,55.001251,-115.002136,798982.413527085
"627",312400199,13,616,439507,140.157039592088,55.001251,-115.002136,798982.413527085
"628",312400199,8,4,707985,0.564983721406527,55.001251,-115.002136,798982.413527085
"629",312400199,11,243,723900,33.5681723995027,55.001251,-115.002136,798982.413527085
"630",312400199,5,0,728127,0,55.001251,-115.002136,798982.413527085
"631",312400199,2,0,561269,0,55.001251,-115.002136,798982.413527085
"632",312400199,18,348,81079,429.211016416088,55.001251,-115.002136,798982.413527085
"633",312400199,3,0,576589,0,55.001251,-115.002136,798982.413527085
"634",312400199,7,4,752452,0.53159537086751,55.001251,-115.002136,798982.413527085
"635",312400199,17,631,118127,534.170850017354,55.001251,-115.002136,798982.413527085
"636",312400199,16,823,173094,475.464198643512,55.001251,-115.002136,798982.413527085
"637",312400199,12,431,583950,73.8076890144704,55.001251,-115.002136,798982.413527085
"638",312400299,18,789,153504,513.993120700438,55.001251,-125.002441,256698.821253879
"639",312400299,15,1202,377738,318.209976226909,55.001251,-125.002441,256698.821253879
"640",312400299,14,1183,505646,233.958144630829,55.001251,-125.002441,256698.821253879
"641",312400299,11,293,861344,34.0166066054909,55.001251,-125.002441,256698.821253879
"642",312400299,10,140,880331,15.9031091714367,55.001251,-125.002441,256698.821253879
"643",312400299,17,1054,206206,511.139346090802,55.001251,-125.002441,256698.821253879
"644",312400299,7,5,730777,0.684203252154898,55.001251,-125.002441,256698.821253879
"645",312400299,6,3,773959,0.387617431931149,55.001251,-125.002441,256698.821253879
"646",312400299,8,16,741522,2.15772424823539,55.001251,-125.002441,256698.821253879
"647",312400299,1,1,567907,0.176085168874481,55.001251,-125.002441,256698.821253879
"648",312400299,12,593,778688,76.1537355140955,55.001251,-125.002441,256698.821253879
"649",312400299,5,2,768868,0.260122673852989,55.001251,-125.002441,256698.821253879
"650",312400299,2,1,567095,0.176337297983583,55.001251,-125.002441,256698.821253879
"651",312400299,13,870,681073,127.739610878716,55.001251,-125.002441,256698.821253879
"652",312400299,3,0,634141,0,55.001251,-125.002441,256698.821253879
"653",312400299,4,1,734868,0.136078860421191,55.001251,-125.002441,256698.821253879
"654",312400299,16,1254,299172,419.156872969396,55.001251,-125.002441,256698.821253879
"655",312400299,9,45,800880,5.61881929877135,55.001251,-125.002441,256698.821253879
"656",312400399,11,107,226969,47.1430019077495,55.001251,-97.001038,333925.864788374
"657",312400399,5,1,220560,0.453391367428364,55.001251,-97.001038,333925.864788374
"658",312400399,7,4,199521,2.00480149959152,55.001251,-97.001038,333925.864788374
"659",312400399,2,0,195321,0,55.001251,-97.001038,333925.864788374
"660",312400399,17,278,51562,539.156743338117,55.001251,-97.001038,333925.864788374
"661",312400399,6,0,209155,0,55.001251,-97.001038,333925.864788374
"662",312400399,9,10,208371,4.79913231687711,55.001251,-97.001038,333925.864788374
"663",312400399,15,367,88999,412.364183867234,55.001251,-97.001038,333925.864788374
"664",312400399,4,0,225296,0,55.001251,-97.001038,333925.864788374
"665",312400399,3,0,208173,0,55.001251,-97.001038,333925.864788374
"666",312400399,18,225,42347,531.324533024772,55.001251,-97.001038,333925.864788374
"667",312400399,12,134,195694,68.4742506157573,55.001251,-97.001038,333925.864788374
"668",312400399,16,345,70914,486.504780438277,55.001251,-97.001038,333925.864788374
"669",312400399,13,287,164183,174.804943264528,55.001251,-97.001038,333925.864788374
"670",312400399,8,4,201074,1.98931736574594,55.001251,-97.001038,333925.864788374
"671",312400399,1,0,200217,0,55.001251,-97.001038,333925.864788374
"672",312400399,10,43,235006,18.2974051726339,55.001251,-97.001038,333925.864788374
