"registry_code","sex","age_group","number_of_cases","person_years_at_risk","discription","start","end","latitude","longitude"
101200199,2,6,0,327421,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,10,8,150313,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,2,0,247079,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,5,0,350207,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,8,7,214591,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,17,4,0,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,9,5,172801,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,11,12,121188,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,19,0,0,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,18,5,0,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,4,1,321907,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,12,10,93566,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,13,70,59989,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,5,1,367163,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,19,0,0,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,7,3,271908,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,6,2,341413,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,8,21,220833,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,10,29,151974,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,3,0,267080,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,1,0,263105,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,15,55,38654,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,7,11,280809,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,12,50,98670,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,13,16,62372,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,9,9,176887,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,16,31,58885,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,4,3,338057,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,17,19,0,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,14,54,41303,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,11,52,123872,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,16,10,65590,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,2,0,259962,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,14,15,49045,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,3,0,280726,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,1,1,0,279377,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,18,3,0,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200199,2,15,10,45806,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200399,2,19,0,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,1,0,300292,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,14,6,49574,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,18,4,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,2,0,249660,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,3,0,305477,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,5,0,338002,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,15,5,41371,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,5,0,328725,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,12,5,83725,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,2,0,260233,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,3,0,292453,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,13,36,53498,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,4,0,347657,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,6,0,271638,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,16,4,57232,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,19,0,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,18,1,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,12,35,88675,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,17,2,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,6,1,282582,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,7,0,217611,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,14,37,48356,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,11,23,110090,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,13,5,54288,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,9,9,154664,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,11,4,111205,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,4,0,334301,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,16,30,58531,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,1,0,284900,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,8,0,180110,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,10,11,136651,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,7,1,218117,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,17,7,0,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,2,10,3,142956,"Algeria, Batna",2008,2012,35.554404,6.1767453
101200399,1,8,2,174979,"Algeria, Batna",2008,2012,35.554404,6.1767453
