"registry_code","discription","start","end","latitude","longitude"
101200199,"Algeria, Setif",2008,2011,36.1892751,5.403493
101200399,"Algeria, Batna",2008,2012,35.554404,6.1767453
140400299,"Kenya, Nairobi",2008,2012,-1.2832533,36.8172449
169000099,"Seychelles",2009,2012,-4.6574977,55.4540146
171000199,"South Africa, Eastern Cape",2008,2012,-32.2171831,26.6386401
180000299,"Uganda, Kyadondo County",2008,2012,0.3252441,32.6075916
203201199,"Argentina, Chaco",2008,2012,-26.3829647,-60.8816092
203200599,"Argentina, Entre Rios Province",2008,2011,-38.9455556,-68.0506112
203200699,"Argentina, Cordoba",2008,2012,-31.4173391,-64.183319
203200799,"Argentina, Mendoza",2008,2012,-32.8897294,-68.8442956
203200899,"Argentina, Tierra del Fuego",2008,2012,-53.8904638,-68.348598
207601199,"Brazil, Aracaju",2008,2012,-10.9162061,-37.0774655
207601299,"Brazil, Curitiba",2008,2011,-25.4295963,-49.2712724
207600599,"Brazil, Florianopolis",2008,2010,-27.5973002,-48.5496098
207600299,"Brazil, Goiania",2008,2012,-16.680882,-49.2532691
207601799,"Brazil, Jau",2008,2012,-22.293585,-48.559193
207602099,"Brazil, Pocos de Caldas",2008,2011,-21.790833,-46.5657169
215200399,"Chile, Region of Antofagasta",2008,2010,-23.6463741,-70.3980033
215200299,"Chile, Biobio Province",2008,2012,-40.5647991,-73.1606179
215200599,"Chile, Concepcion",2008,2010,-36.8270776,-73.0502683
215200199,"Chile, Valdivia",2008,2012,-39.8141965,-73.2458525
217000199,"Colombia, Cali",2008,2012,3.4517923,-76.5324943
217000299,"Colombia, Bucaramanga",2008,2012,7.1114611,-73.1172869
217000399,"Colombia, Manizales",2008,2012,5.0681104,-75.5173198
217000499,"Colombia, Pasto",2008,2012,1.2146286,-77.2782516
218800099,"Costa Rica",2008,2011,10.2735633,-84.0739102
221800299,"Ecuador, Cuenca",2008,2012,-2.8661654,-79.1855137
221800399,"Ecuador, Guayaquil",2008,2012,-2.1898771,-79.8877153
221800499,"Ecuador, Loja",2008,2010,-4.0528506,-79.8053425
221800599,"Ecuador, Manabi",2008,2012,-0.7588025,-80.0612131
221800199,"Ecuador, Quito",2008,2012,-0.2201641,-78.5123274
225009199,"France, Martinique",2008,2012,14.6367927,-61.0158269
225009499,"French Guiana",2008,2012,4.0039882,-52.999998
238800199,"Jamaica, Kingston and St Andrew",2008,2011,18.0163772,-76.7806345
260400299,"Peru, Lima",2010,2012,-12.0621065,-77.0365256
263000099,"USA, Puerto Rico",2008,2012,18.2214172,-66.4132819
285800099,"Uruguay",2008,2012,-32.8755548,-56.0201525
312400199,"Canada, Alberta",2008,2012,55.001251,-115.002136
312400299,"Canada, British Columbia",2008,2012,55.001251,-125.002441
312400399,"Canada, Manitoba",2008,2012,55.001251,-97.001038
312400599,"Canada, New Brunswick",2008,2012,46.500283,-66.750183
312400899,"Canada, Newfoundland and Labrador",2008,2012,53.8217327,-61.2295532
312400499,"Canada, Northwest Territories",2008,2012,65.0000004,-118
312400699,"Canada, Nova Scotia",2008,2012,45.1960403,-63.1653789
312401399,"Canada, Nunavut",2008,2012,70.0000073,-90
312401099,"Canada, Ontario",2008,2012,50.000678,-86.000977
312400799,"Canada, Prince Edward Island",2008,2012,46.5035454,-63.5955171
312401299,"Canada, Saskatchewan",2008,2012,55.5321257,-106.1412243
312400999,"Canada, Yukon",2008,2012,63.000147,-136.002502
384000099,"USA",2008,2012,39.7837304,-100.4458825
384008099,"USA, NPCR",2008,2012,NA,NA
384002499,"USA, SEER (18 registries)",2008,2012,NA,NA
