"","registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude","distance"
"3437",504000099,15,1049,983960,106.610024797756,47.2000338,13.199959,157990.693250424
"3438",504000099,10,383,1723016,22.2284645064236,47.2000338,13.199959,157990.693250424
"3439",504000099,16,840,776479,108.180646224817,47.2000338,13.199959,157990.693250424
"3440",504000099,17,772,692525,111.476119995668,47.2000338,13.199959,157990.693250424
"3441",504000099,7,18,1334907,1.3484085408197,47.2000338,13.199959,157990.693250424
"3442",504000099,12,928,1283964,72.2761697368462,47.2000338,13.199959,157990.693250424
"3443",504000099,3,0,1076629,0,47.2000338,13.199959,157990.693250424
"3444",504000099,9,148,1717278,8.61829010794991,47.2000338,13.199959,157990.693250424
"3445",504000099,14,1349,1170728,115.227448220253,47.2000338,13.199959,157990.693250424
"3446",504000099,8,47,1491249,3.15172047055857,47.2000338,13.199959,157990.693250424
"3447",504000099,1,0,961309,0,47.2000338,13.199959,157990.693250424
"3448",504000099,6,10,1373149,0.728253088339284,47.2000338,13.199959,157990.693250424
"3449",504000099,13,1173,1193537,98.2793160161771,47.2000338,13.199959,157990.693250424
"3450",504000099,18,657,684971,95.9164694563711,47.2000338,13.199959,157990.693250424
"3451",504000099,2,0,990695,0,47.2000338,13.199959,157990.693250424
"3452",504000099,5,4,1292606,0.30945237759998,47.2000338,13.199959,157990.693250424
"3453",504000099,11,657,1507104,43.593540989872,47.2000338,13.199959,157990.693250424
"3454",504000099,4,5,1205030,0.414927429192634,47.2000338,13.199959,157990.693250424
"3455",504000299,8,2,95786,2.08798780615121,46.7500001,13.8333333,108604.996123088
"3456",504000299,12,70,91528,76.4793287300061,46.7500001,13.8333333,108604.996123088
"3457",504000299,14,89,82786,107.506100065228,46.7500001,13.8333333,108604.996123088
"3458",504000299,16,78,58757,132.750140408802,46.7500001,13.8333333,108604.996123088
"3459",504000299,7,0,80502,0,46.7500001,13.8333333,108604.996123088
"3460",504000299,1,0,58913,0,46.7500001,13.8333333,108604.996123088
"3461",504000299,4,0,81517,0,46.7500001,13.8333333,108604.996123088
"3462",504000299,3,0,73061,0,46.7500001,13.8333333,108604.996123088
"3463",504000299,10,28,118098,23.7091229318024,46.7500001,13.8333333,108604.996123088
"3464",504000299,5,0,77659,0,46.7500001,13.8333333,108604.996123088
"3465",504000299,15,78,68535,113.810461807835,46.7500001,13.8333333,108604.996123088
"3466",504000299,9,8,114873,6.96421265223334,46.7500001,13.8333333,108604.996123088
"3467",504000299,2,0,63299,0,46.7500001,13.8333333,108604.996123088
"3468",504000299,18,63,49499,127.275298490879,46.7500001,13.8333333,108604.996123088
"3469",504000299,13,86,82952,103.674414119009,46.7500001,13.8333333,108604.996123088
"3470",504000299,11,59,106981,55.1499799029734,46.7500001,13.8333333,108604.996123088
"3471",504000299,17,55,53076,103.624990579546,46.7500001,13.8333333,108604.996123088
"3472",504000299,6,0,82264,0,46.7500001,13.8333333,108604.996123088
"3473",504000799,9,10,149398,6.69353003386926,47.223193,11.5261028,198291.915457102
"3474",504000799,14,115,92778,123.951798917847,47.223193,11.5261028,198291.915457102
"3475",504000799,7,2,115774,1.72750358456994,47.223193,11.5261028,198291.915457102
"3476",504000799,1,0,83643,0,47.223193,11.5261028,198291.915457102
"3477",504000799,3,0,96318,0,47.223193,11.5261028,198291.915457102
"3478",504000799,13,102,96826,105.343606056225,47.223193,11.5261028,198291.915457102
"3479",504000799,15,94,76963,122.13661109884,47.223193,11.5261028,198291.915457102
"3480",504000799,18,50,49072,101.891098793609,47.223193,11.5261028,198291.915457102
"3481",504000799,16,73,58873,123.995719599817,47.223193,11.5261028,198291.915457102
"3482",504000799,5,0,116546,0,47.223193,11.5261028,198291.915457102
"3483",504000799,10,35,147388,23.7468450620132,47.223193,11.5261028,198291.915457102
"3484",504000799,4,1,108304,0.923326931599941,47.223193,11.5261028,198291.915457102
"3485",504000799,11,61,124236,49.100099810039,47.223193,11.5261028,198291.915457102
"3486",504000799,12,87,105034,82.8303216101453,47.223193,11.5261028,198291.915457102
"3487",504000799,2,0,86411,0,47.223193,11.5261028,198291.915457102
"3488",504000799,17,70,49985,140.042012603781,47.223193,11.5261028,198291.915457102
"3489",504000799,8,2,128281,1.55907733803135,47.223193,11.5261028,198291.915457102
"3490",504000799,6,1,121261,0.824667452849638,47.223193,11.5261028,198291.915457102
"3491",504000899,9,5,75516,6.62111340643042,47.25,9.9166667,268718.766054228
"3492",504000899,13,45,48586,92.6192730416169,47.25,9.9166667,268718.766054228
"3493",504000899,4,0,58806,0,47.25,9.9166667,268718.766054228
"3494",504000899,14,56,44972,124.52192475318,47.25,9.9166667,268718.766054228
"3495",504000899,16,28,30313,92.369610398179,47.25,9.9166667,268718.766054228
"3496",504000899,5,0,57290,0,47.25,9.9166667,268718.766054228
"3497",504000899,17,31,24460,126.737530662306,47.25,9.9166667,268718.766054228
"3498",504000899,2,0,50000,0,47.25,9.9166667,268718.766054228
"3499",504000899,11,23,62923,36.5526119225085,47.25,9.9166667,268718.766054228
"3500",504000899,3,0,54774,0,47.25,9.9166667,268718.766054228
"3501",504000899,7,1,61060,1.63773337700622,47.25,9.9166667,268718.766054228
"3502",504000899,12,30,54447,55.0994545154003,47.25,9.9166667,268718.766054228
"3503",504000899,18,15,22791,65.8154534684744,47.25,9.9166667,268718.766054228
"3504",504000899,8,2,67212,2.97565910849253,47.25,9.9166667,268718.766054228
"3505",504000899,1,0,48150,0,47.25,9.9166667,268718.766054228
"3506",504000899,10,10,73803,13.5495847052288,47.25,9.9166667,268718.766054228
"3507",504000899,6,0,62164,0,47.25,9.9166667,268718.766054228
"3508",504000899,15,49,39011,125.605598420958,47.25,9.9166667,268718.766054228
"3509",505600099,7,26,1746923,1.48833119719644,50.6402809,4.6667145,74468.9612744651
"3510",505600099,4,5,1586701,0.315119231663685,50.6402809,4.6667145,74468.9612744651
"3511",505600099,17,884,936332,94.4109567973753,50.6402809,4.6667145,74468.9612744651
"3512",505600099,11,1097,1911498,57.3895447444883,50.6402809,4.6667145,74468.9612744651
"3513",505600099,6,10,1728715,0.578464350688228,50.6402809,4.6667145,74468.9612744651
"3514",505600099,9,203,1957621,10.3697293807126,50.6402809,4.6667145,74468.9612744651
"3515",505600099,12,1487,1737981,85.5590481138747,50.6402809,4.6667145,74468.9612744651
"3516",505600099,15,1458,1215469,119.953696885729,50.6402809,4.6667145,74468.9612744651
"3517",505600099,18,500,828639,60.3399067627761,50.6402809,4.6667145,74468.9612744651
"3518",505600099,3,0,1490634,0,50.6402809,4.6667145,74468.9612744651
"3519",505600099,13,1672,1591898,105.03185505604,50.6402809,4.6667145,74468.9612744651
"3520",505600099,14,1614,1247649,129.363306506878,50.6402809,4.6667145,74468.9612744651
"3521",505600099,2,0,1464692,0,50.6402809,4.6667145,74468.9612744651
"3522",505600099,16,1254,1163714,107.758435491882,50.6402809,4.6667145,74468.9612744651
"3523",505600099,5,9,1653337,0.544353631473801,50.6402809,4.6667145,74468.9612744651
"3524",505600099,1,0,1531136,0,50.6402809,4.6667145,74468.9612744651
"3525",505600099,10,529,2022255,26.1589166549224,50.6402809,4.6667145,74468.9612744651
"3526",505600099,8,70,1842655,3.79886630975413,50.6402809,4.6667145,74468.9612744651
"3527",510000099,7,23,1351089,1.70233049044141,42.6073975,25.4856617,162205.053417452
"3528",510000099,4,1,975597,0.102501340205023,42.6073975,25.4856617,162205.053417452
"3529",510000099,13,547,1388953,39.3821821184734,42.6073975,25.4856617,162205.053417452
"3530",510000099,12,472,1389944,33.9582026326241,42.6073975,25.4856617,162205.053417452
"3531",510000099,3,0,780366,0,42.6073975,25.4856617,162205.053417452
"3532",510000099,5,4,1220852,0.327640041544757,42.6073975,25.4856617,162205.053417452
"3533",510000099,17,244,591623,41.2424804309501,42.6073975,25.4856617,162205.053417452
"3534",510000099,9,82,1273167,6.44063190453413,42.6073975,25.4856617,162205.053417452
"3535",510000099,11,310,1332997,23.2558662922722,42.6073975,25.4856617,162205.053417452
"3536",510000099,6,3,1263135,0.237504304765524,42.6073975,25.4856617,162205.053417452
"3537",510000099,16,437,902057,48.4448322001825,42.6073975,25.4856617,162205.053417452
"3538",510000099,15,435,1014622,42.8731093944346,42.6073975,25.4856617,162205.053417452
"3539",510000099,1,1,867040,0.115334932644399,42.6073975,25.4856617,162205.053417452
"3540",510000099,18,134,340121,39.3977437441381,42.6073975,25.4856617,162205.053417452
"3541",510000099,2,0,801402,0,42.6073975,25.4856617,162205.053417452
"3542",510000099,14,470,1146589,40.9911485283742,42.6073975,25.4856617,162205.053417452
"3543",510000099,10,188,1266424,14.8449492429076,42.6073975,25.4856617,162205.053417452
"3544",510000099,8,45,1351945,3.32853777335616,42.6073975,25.4856617,162205.053417452
"3545",511200099,12,283,1742598,16.2401196374608,53.4250605,27.6971358,454393.436418065
"3546",511200099,7,9,1720392,0.523136587475413,53.4250605,27.6971358,454393.436418065
"3547",511200099,5,5,1854803,0.269570407207666,53.4250605,27.6971358,454393.436418065
"3548",511200099,1,1,1231131,0.0812261245960016,53.4250605,27.6971358,454393.436418065
"3549",511200099,4,5,1472579,0.339540357427343,53.4250605,27.6971358,454393.436418065
"3550",511200099,17,333,753476,44.1951701182254,53.4250605,27.6971358,454393.436418065
"3551",511200099,14,314,1043625,30.0874356210325,53.4250605,27.6971358,454393.436418065
"3552",511200099,16,451,1020562,44.1913377139262,53.4250605,27.6971358,454393.436418065
"3553",511200099,9,54,1715189,3.14834108660911,53.4250605,27.6971358,454393.436418065
"3554",511200099,18,146,409577,35.6465328863681,53.4250605,27.6971358,454393.436418065
"3555",511200099,3,0,1129884,0,53.4250605,27.6971358,454393.436418065
"3556",511200099,11,232,2028535,11.4368250979155,53.4250605,27.6971358,454393.436418065
"3557",511200099,15,503,1306284,38.5061747675084,53.4250605,27.6971358,454393.436418065
"3558",511200099,13,301,1361627,22.1059071243446,53.4250605,27.6971358,454393.436418065
"3559",511200099,6,14,1857740,0.753603841226436,53.4250605,27.6971358,454393.436418065
"3560",511200099,8,28,1696799,1.65016598901815,53.4250605,27.6971358,454393.436418065
"3561",511200099,2,0,1084213,0,53.4250605,27.6971358,454393.436418065
"3562",511200099,10,143,1964804,7.27807964560333,53.4250605,27.6971358,454393.436418065
"3563",519100099,3,0,591290,0,45.5643442,17.0118954,176883.296778153
"3564",519100099,14,483,596993,80.9054712534318,45.5643442,17.0118954,176883.296778153
"3565",519100099,8,20,719133,2.78112671786721,45.5643442,17.0118954,176883.296778153
"3566",519100099,16,565,541764,104.288952385171,45.5643442,17.0118954,176883.296778153
"3567",519100099,4,2,616963,0.324168548194949,45.5643442,17.0118954,176883.296778153
"3568",519100099,9,58,746659,7.76793690292356,45.5643442,17.0118954,176883.296778153
"3569",519100099,7,7,743146,0.941941422008596,45.5643442,17.0118954,176883.296778153
"3570",519100099,19,0,31515,0,45.5643442,17.0118954,176883.296778153
"3571",519100099,18,206,212389,96.9918404437141,45.5643442,17.0118954,176883.296778153
"3572",519100099,17,386,351405,109.844766010728,45.5643442,17.0118954,176883.296778153
"3573",519100099,12,432,796386,54.2450520225117,45.5643442,17.0118954,176883.296778153
"3574",519100099,15,528,621107,85.009507218563,45.5643442,17.0118954,176883.296778153
"3575",519100099,1,0,515343,0,45.5643442,17.0118954,176883.296778153
"3576",519100099,5,0,672385,0,45.5643442,17.0118954,176883.296778153
"3577",519100099,13,450,676153,66.5529843097642,45.5643442,17.0118954,176883.296778153
"3578",519100099,2,0,508486,0,45.5643442,17.0118954,176883.296778153
"3579",519100099,11,346,825730,41.9023167379167,45.5643442,17.0118954,176883.296778153
"3580",519100099,10,160,794023,20.1505497951571,45.5643442,17.0118954,176883.296778153
"3581",519100099,6,6,739597,0.811252614599573,45.5643442,17.0118954,176883.296778153
"3582",519600099,14,46,88163,52.1760829372866,34.9823018,33.1451285,30857.110774175
"3583",519600099,7,4,171284,2.33530277200439,34.9823018,33.1451285,30857.110774175
"3584",519600099,15,45,73723,61.03929574217,34.9823018,33.1451285,30857.110774175
"3585",519600099,9,9,152281,5.91012667371504,34.9823018,33.1451285,30857.110774175
"3586",519600099,16,40,57142,70.0010500157502,34.9823018,33.1451285,30857.110774175
"3587",519600099,12,34,121292,28.0315272235597,34.9823018,33.1451285,30857.110774175
"3588",519600099,1,0,115094,0,34.9823018,33.1451285,30857.110774175
"3589",519600099,10,10,148607,6.72915811502823,34.9823018,33.1451285,30857.110774175
"3590",519600099,17,33,39794,82.9270744333317,34.9823018,33.1451285,30857.110774175
"3591",519600099,8,6,162065,3.70221824576559,34.9823018,33.1451285,30857.110774175
"3592",519600099,11,21,138427,15.1704508513513,34.9823018,33.1451285,30857.110774175
"3593",519600099,18,21,31127,67.4655443826903,34.9823018,33.1451285,30857.110774175
"3594",519600099,5,1,171726,0.582323002923261,34.9823018,33.1451285,30857.110774175
"3595",519600099,2,0,107884,0,34.9823018,33.1451285,30857.110774175
"3596",519600099,4,1,151320,0.660851176315094,34.9823018,33.1451285,30857.110774175
"3597",519600099,13,37,112790,32.8043266247008,34.9823018,33.1451285,30857.110774175
"3598",519600099,3,0,120898,0,34.9823018,33.1451285,30857.110774175
"3599",519600099,6,2,181771,1.1002855240935,34.9823018,33.1451285,30857.110774175
"3600",520300099,9,95,1733313,5.48083352516251,49.8167003,15.4749544,425163.893423467
"3601",520300099,1,0,1381309,0,49.8167003,15.4749544,425163.893423467
"3602",520300099,8,33,2081089,1.58570825178548,49.8167003,15.4749544,425163.893423467
"3603",520300099,14,1734,1500987,115.523985217727,49.8167003,15.4749544,425163.893423467
"3604",520300099,7,23,2177707,1.05615677407475,49.8167003,15.4749544,425163.893423467
"3605",520300099,12,1130,1933975,58.4288835171085,49.8167003,15.4749544,425163.893423467
"3606",520300099,2,0,1166672,0,49.8167003,15.4749544,425163.893423467
"3607",520300099,15,1418,1098404,129.09639804662,49.8167003,15.4749544,425163.893423467
"3608",520300099,3,0,1129692,0,49.8167003,15.4749544,425163.893423467
"3609",520300099,17,958,756839,126.57910070702,49.8167003,15.4749544,425163.893423467
"3610",520300099,13,1744,1908046,91.4024085373204,49.8167003,15.4749544,425163.893423467
