"","registry_code","age_group","number_of_cases","person_years_at_risk","incidence_rate_100000","latitude","longitude","distance"
"1",101200199,11,12,121188,9.90197049212793,36.1892751,5.403493,51103.6294088374
"2",101200199,6,0,327421,0,36.1892751,5.403493,51103.6294088374
"3",101200199,7,3,271908,1.1033143563264,36.1892751,5.403493,51103.6294088374
"4",101200199,1,0,263105,0,36.1892751,5.403493,51103.6294088374
"5",101200199,4,1,321907,0.310648727738136,36.1892751,5.403493,51103.6294088374
"6",101200199,8,7,214591,3.2620193763951,36.1892751,5.403493,51103.6294088374
"7",101200199,14,15,49045,30.5841574064635,36.1892751,5.403493,51103.6294088374
"8",101200199,2,0,247079,0,36.1892751,5.403493,51103.6294088374
"9",101200199,16,10,65590,15.2462265589267,36.1892751,5.403493,51103.6294088374
"10",101200199,12,10,93566,10.6876429472244,36.1892751,5.403493,51103.6294088374
"11",101200199,3,0,267080,0,36.1892751,5.403493,51103.6294088374
"12",101200199,10,8,150313,5.32222761836967,36.1892751,5.403493,51103.6294088374
"13",101200199,15,10,45806,21.8312011526874,36.1892751,5.403493,51103.6294088374
"14",101200199,9,5,172801,2.89350177371659,36.1892751,5.403493,51103.6294088374
"15",101200199,5,0,350207,0,36.1892751,5.403493,51103.6294088374
"16",101200199,13,16,62372,25.652536394536,36.1892751,5.403493,51103.6294088374
"17",101200399,6,0,271638,0,35.554404,6.1767453,138927.135170452
"18",101200399,11,4,111205,3.59696056831977,35.554404,6.1767453,138927.135170452
"19",101200399,15,5,41371,12.0857605569118,35.554404,6.1767453,138927.135170452
"20",101200399,16,4,57232,6.98909700866648,35.554404,6.1767453,138927.135170452
"21",101200399,9,1,160956,0.621287805362956,35.554404,6.1767453,138927.135170452
"22",101200399,4,0,334301,0,35.554404,6.1767453,138927.135170452
"23",101200399,10,3,142956,2.098547804919,35.554404,6.1767453,138927.135170452
"24",101200399,12,5,83725,5.97193191997611,35.554404,6.1767453,138927.135170452
"25",101200399,7,0,217611,0,35.554404,6.1767453,138927.135170452
"26",101200399,2,0,249660,0,35.554404,6.1767453,138927.135170452
"27",101200399,14,6,49574,12.1031185702183,35.554404,6.1767453,138927.135170452
"28",101200399,8,0,180110,0,35.554404,6.1767453,138927.135170452
"29",101200399,3,0,292453,0,35.554404,6.1767453,138927.135170452
"30",101200399,1,0,284900,0,35.554404,6.1767453,138927.135170452
"31",101200399,5,0,328725,0,35.554404,6.1767453,138927.135170452
"32",101200399,13,5,54288,9.21013852048335,35.554404,6.1767453,138927.135170452
"33",140400299,5,0,1331535,0,-1.2832533,36.8172449,407787.942897311
"34",140400299,10,6,205510,2.91956595786093,-1.2832533,36.8172449,407787.942897311
"35",140400299,15,10,21200,47.1698113207547,-1.2832533,36.8172449,407787.942897311
"36",140400299,16,6,38470,15.5965687548739,-1.2832533,36.8172449,407787.942897311
"37",140400299,3,0,635070,0,-1.2832533,36.8172449,407787.942897311
"38",140400299,6,2,1140785,0.17531787321888,-1.2832533,36.8172449,407787.942897311
"39",140400299,2,0,774885,0,-1.2832533,36.8172449,407787.942897311
"40",140400299,7,3,707530,0.424010289316354,-1.2832533,36.8172449,407787.942897311
"41",140400299,11,9,124470,7.23065798987708,-1.2832533,36.8172449,407787.942897311
"42",140400299,8,4,475865,0.840574532693096,-1.2832533,36.8172449,407787.942897311
"43",140400299,12,2,74905,2.67004872838929,-1.2832533,36.8172449,407787.942897311
"44",140400299,4,0,771460,0,-1.2832533,36.8172449,407787.942897311
"45",140400299,13,11,50525,21.7714002968827,-1.2832533,36.8172449,407787.942897311
"46",140400299,14,5,28320,17.6553672316384,-1.2832533,36.8172449,407787.942897311
"47",140400299,9,1,287460,0.347874486885132,-1.2832533,36.8172449,407787.942897311
"48",140400299,1,0,988900,0,-1.2832533,36.8172449,407787.942897311
"49",169000099,8,1,14410,6.93962526023595,-4.6574977,55.4540146,2319.19767848382
"50",169000099,10,0,13580,0,-4.6574977,55.4540146,2319.19767848382
"51",169000099,9,0,13773,0,-4.6574977,55.4540146,2319.19767848382
"52",169000099,13,0,5598,0,-4.6574977,55.4540146,2319.19767848382
"53",169000099,5,0,12849,0,-4.6574977,55.4540146,2319.19767848382
"54",169000099,6,0,13301,0,-4.6574977,55.4540146,2319.19767848382
"55",169000099,4,0,13795,0,-4.6574977,55.4540146,2319.19767848382
"56",169000099,3,0,12131,0,-4.6574977,55.4540146,2319.19767848382
"57",169000099,2,0,12892,0,-4.6574977,55.4540146,2319.19767848382
"58",169000099,16,2,8006,24.981264051961,-4.6574977,55.4540146,2319.19767848382
"59",169000099,11,3,10476,28.6368843069874,-4.6574977,55.4540146,2319.19767848382
"60",169000099,12,0,7436,0,-4.6574977,55.4540146,2319.19767848382
"61",169000099,7,1,14350,6.96864111498258,-4.6574977,55.4540146,2319.19767848382
"62",169000099,1,0,14146,0,-4.6574977,55.4540146,2319.19767848382
"63",171000199,16,2,105173,1.90162874502011,-32.2171831,26.6386401,140452.978824505
"64",171000199,10,1,121206,0.825041664604062,-32.2171831,26.6386401,140452.978824505
"65",171000199,9,0,128543,0,-32.2171831,26.6386401,140452.978824505
"66",171000199,5,0,235146,0,-32.2171831,26.6386401,140452.978824505
"67",171000199,2,0,354724,0,-32.2171831,26.6386401,140452.978824505
"68",171000199,4,0,359878,0,-32.2171831,26.6386401,140452.978824505
"69",171000199,8,0,132344,0,-32.2171831,26.6386401,140452.978824505
"70",171000199,13,6,88026,6.8161679503783,-32.2171831,26.6386401,140452.978824505
