"","incidence_rate_100000","discription","registry_code","latitude","longitude","distance"
"1",181.708055723804,"Argentina, Entre Rios Province",203200599,-38.9455556,-68.0506112,326579.573196783
"2",138.359061530251,"Argentina, Cordoba",203200699,-31.4173391,-64.183319,573301.735088022
"3",177.665596588821,"Argentina, Mendoza",203200799,-32.8897294,-68.8442956,245217.49750528
"4",234.118229706002,"Argentina, Chaco",203201199,-26.3829647,-60.8816092,720427.760514003
"5",112.998340336876,"Brazil, Goiania",207600299,-16.680882,-49.2532691,850676.048659778
"6",200.246457178065,"Brazil, Aracaju",207601199,-10.9162061,-37.0774655,5493.3933544822
"7",224.922591575627,"Brazil, Curitiba",207601299,-25.4295963,-49.2712724,53843.9740251106
"8",69.5058764059143,"Chile, Valdivia",215200199,-39.8141965,-73.2458525,12065.0200779027
"9",76.8541052901243,"Chile, Biobio Province",215200299,-40.5647991,-73.1606179,48153.3084731593
"10",595.238095238095,"Chile, Region of Antofagasta",215200399,-23.6463741,-70.3980033,579.626477228549
"11",116.435837725211,"Chile, Concepcion",215200599,-36.8270776,-73.0502683,8518.25295335996
"12",197.096433035285,"Colombia, Cali",217000199,3.4517923,-76.5324943,69726.6148339766
"13",90.5418581975206,"Colombia, Bucaramanga",217000299,7.1114611,-73.1172869,267107.984445651
"14",64.8976059994231,"Colombia, Manizales",217000399,5.0681104,-75.5173198,197228.557042558
"15",71.5102974828375,"Colombia, Pasto",217000499,1.2146286,-77.2782516,156976.117798648
"16",118.814339294739,"Costa Rica",218800099,10.2735633,-84.0739102,68793.1284372125
"17",138.989731355668,"Ecuador, Quito",221800199,-0.2201641,-78.5123274,157470.348027737
"18",130.67836302708,"Ecuador, Guayaquil",221800399,-2.1898771,-79.8877153,1421.86100610387
"19",98.3873037601061,"Ecuador, Manabi",221800599,-0.7588025,-80.0612131,28541.9689812916
"20",72.6528185991216,"France, Martinique",225009199,14.6367927,-61.0158269,2657.89392409686
"21",122.002970507108,"Jamaica, Kingston and St Andrew",238800199,18.0163772,-76.7806345,5818.89818031675
"22",271.05061575629,"Peru, Lima",260400299,-12.0621065,-77.0365256,5769.89614368428
"23",190.49113095705,"USA, Puerto Rico",263000099,18.2214172,-66.4132819,26000.2448451227
"24",361.465956210418,"Uruguay",285800099,-32.8755548,-56.0201525,189821.400741988
"25",491.451060711023,"Canada, Alberta",312400199,55.001251,-115.002136,798982.413527085
"26",512.357176614495,"Canada, British Columbia",312400299,55.001251,-125.002441,256698.821253879
"27",535.624913480071,"Canada, Manitoba",312400399,55.001251,-97.001038,333925.864788374
"28",675.711344559996,"Canada, New Brunswick",312400599,46.500283,-66.750183,124129.562303182
"29",667.236954662104,"Canada, Nova Scotia",312400699,45.1960403,-63.1653789,23876.9633224945
"30",609.859393528714,"Canada, Prince Edward Island",312400799,46.5035454,-63.5955171,5722.2577336102
"31",694.978411308925,"Canada, Newfoundland and Labrador",312400899,53.8217327,-61.2295532,22070.6430952879
"32",442.637837465624,"Canada, Ontario",312401099,50.000678,-86.000977,371951.693274685
"33",452.350919925188,"Canada, Saskatchewan",312401299,55.5321257,-106.1412243,776445.29809489
"34",518.229959697599,"USA",384000099,39.7837304,-100.4458825,1217088.91282438
"35",459.117256349901,"USA, California, San Francisco Bay Area",384000299,37.7884969,-122.3558473,2215.01158876974
"36",394.933950701348,"USA, California, Los Angeles County",384000399,34.3155072,-118.2096814,42970.3492196307
"37",518.447238318376,"USA, Connecticut",384000499,41.6500201,-72.7342163,41022.4653144809
"38",519.55178701032,"USA, Georgia, Atlanta",384000599,33.7490987,-84.3901849,356049.104625245
"39",546.023048286857,"USA, Iowa",384000699,41.9216734,-93.3122705,1309448.08457865
"40",537.242571267934,"USA, Louisiana, New Orleans",384000799,29.9499323,-90.0701156,9693.09127799453
"41",616.530025670467,"USA, Michigan, Detroit",384000899,42.3315509,-83.0466403,632948.081119893
"42",372.421695951108,"USA, New Mexico",384000999,34.5708167,-105.993007,760937.883879686
"43",244.320488340275,"USA, Utah",384001299,39.4225192,-111.7143584,849657.812239229
"44",574.526199022573,"USA, Washington, Seattle",384001399,47.6038321,-122.3300624,862.940393432387
"45",508.728433043365,"USA, New Jersey",384001599,40.0757384,-74.4041622,25603.7798838236
"46",519.9818479064,"USA, New York State",384001699,43.1561681,-75.8449946,223962.9468275
"47",727.053937076645,"USA, Kentucky",384001999,37.5726028,-85.1551411,682209.910283155
"48",572.303031722609,"USA, Louisiana",384002299,30.8703881,-92.007126,114954.25787236
