"registry_code","discription","latitude","longitude","distance"
101200199,"Algeria, Setif",36.1892751,5.403493,51103.6294088374
101200399,"Algeria, Batna",35.554404,6.1767453,138927.135170452
140400299,"Kenya, Nairobi",-1.2832533,36.8172449,407787.942897311
169000099,"Seychelles",-4.6574977,55.4540146,2319.19767848382
171000199,"South Africa, Eastern Cape",-32.2171831,26.6386401,140452.978824505
180000299,"Uganda, Kyadondo County",0.3252441,32.6075916,906695.639684692
203201199,"Argentina, Chaco",-26.3829647,-60.8816092,720427.760514003
203200599,"Argentina, Entre Rios Province",-38.9455556,-68.0506112,326579.573196783
203200699,"Argentina, Cordoba",-31.4173391,-64.183319,573301.735088022
203200799,"Argentina, Mendoza",-32.8897294,-68.8442956,245217.49750528
203200899,"Argentina, Tierra del Fuego",-53.8904638,-68.348598,39376.4220719914
207601199,"Brazil, Aracaju",-10.9162061,-37.0774655,5493.3933544822
207601299,"Brazil, Curitiba",-25.4295963,-49.2712724,53843.9740251106
207600599,"Brazil, Florianopolis",-27.5973002,-48.5496098,1133.72953610151
207600299,"Brazil, Goiania",-16.680882,-49.2532691,850676.048659778
207601799,"Brazil, Jau",-22.293585,-48.559193,275000.068681669
207602099,"Brazil, Pocos de Caldas",-21.790833,-46.5657169,228708.489014229
215200399,"Chile, Region of Antofagasta",-23.6463741,-70.3980033,579.626477228549
215200299,"Chile, Biobio Province",-40.5647991,-73.1606179,48153.3084731593
215200599,"Chile, Concepcion",-36.8270776,-73.0502683,8518.25295335996
215200199,"Chile, Valdivia",-39.8141965,-73.2458525,12065.0200779027
217000199,"Colombia, Cali",3.4517923,-76.5324943,69726.6148339766
217000299,"Colombia, Bucaramanga",7.1114611,-73.1172869,267107.984445651
217000399,"Colombia, Manizales",5.0681104,-75.5173198,197228.557042558
217000499,"Colombia, Pasto",1.2146286,-77.2782516,156976.117798648
218800099,"Costa Rica",10.2735633,-84.0739102,68793.1284372125
221800299,"Ecuador, Cuenca",-2.8661654,-79.1855137,67258.3217957968
221800399,"Ecuador, Guayaquil",-2.1898771,-79.8877153,1421.86100610387
221800499,"Ecuador, Loja",-4.0528506,-79.8053425,88192.5960368879
221800599,"Ecuador, Manabi",-0.7588025,-80.0612131,28541.9689812916
221800199,"Ecuador, Quito",-0.2201641,-78.5123274,157470.348027737
225009199,"France, Martinique",14.6367927,-61.0158269,2657.89392409686
225009499,"French Guiana",4.0039882,-52.999998,108206.669418057
238800199,"Jamaica, Kingston and St Andrew",18.0163772,-76.7806345,5818.89818031675
260400299,"Peru, Lima",-12.0621065,-77.0365256,5769.89614368428
263000099,"USA, Puerto Rico",18.2214172,-66.4132819,26000.2448451227
285800099,"Uruguay",-32.8755548,-56.0201525,189821.400741988
312400199,"Canada, Alberta",55.001251,-115.002136,798982.413527085
312400299,"Canada, British Columbia",55.001251,-125.002441,256698.821253879
312400399,"Canada, Manitoba",55.001251,-97.001038,333925.864788374
312400599,"Canada, New Brunswick",46.500283,-66.750183,124129.562303182
312400899,"Canada, Newfoundland and Labrador",53.8217327,-61.2295532,22070.6430952879
312400499,"Canada, Northwest Territories",65.0000004,-118,338068.506966557
312400699,"Canada, Nova Scotia",45.1960403,-63.1653789,23876.9633224945
312401399,"Canada, Nunavut",70.0000073,-90,55589.1401870038
312401099,"Canada, Ontario",50.000678,-86.000977,371951.693274685
312400799,"Canada, Prince Edward Island",46.5035454,-63.5955171,5722.2577336102
312401299,"Canada, Saskatchewan",55.5321257,-106.1412243,776445.29809489
312400999,"Canada, Yukon",63.000147,-136.002502,378056.309763243
384000099,"USA",39.7837304,-100.4458825,1217088.91282438
384005199,"USA, Alabama",33.2588817,-86.8295337,294627.486569924
384005099,"USA, Alaska",64.4459613,-149.680909,327142.8881462
384005299,"USA, Arizona",34.395342,-111.7632755,366029.736069278
384004099,"USA, Arkansas",35.2048883,-92.4479108,573420.163292009
384002599,"USA, California",36.7014631,-118.7559974,238060.698820239
384000399,"USA, California, Los Angeles County",34.3155072,-118.2096814,42970.3492196307
384000299,"USA, California, San Francisco Bay Area",37.7884969,-122.3558473,2215.01158876974
384005399,"USA, Colorado",38.7251776,-105.6077167,1077901.77236819
384000499,"USA, Connecticut",41.6500201,-72.7342163,41022.4653144809
384004199,"USA, Delaware",38.6920451,-75.4013315,20292.7776857011
384005599,"USA, Florida",27.7567667,-81.4639835,91460.3310021024
384005699,"USA, Georgia",32.3293809,-83.1137366,184718.41610771
384000599,"USA, Georgia, Atlanta",33.7490987,-84.3901849,356049.104625245
384005799,"USA, Idaho",43.6447642,-114.0154071,769020.049415968
384005899,"USA, Illinois",40.0796606,-89.4337288,1044248.42608709
384005999,"USA, Indiana",40.3270127,-86.1746933,787900.933718903
384000699,"USA, Iowa",41.9216734,-93.3122705,1309448.08457865
384001999,"USA, Kentucky",37.5726028,-85.1551411,682209.910283155
384002299,"USA, Louisiana",30.8703881,-92.007126,114954.25787236
384000799,"USA, Louisiana, New Orleans",29.9499323,-90.0701156,9693.09127799453
384006199,"USA, Maine",45.709097,-68.8590201,127579.012910193
384004299,"USA, Maryland",39.5162234,-76.9382069,39338.591286168
384006099,"USA, Massachusetts",42.3788774,-72.032366,81053.4148717319
384006299,"USA, Michigan",43.6211955,-84.6824346,809486.09747
384000899,"USA, Michigan, Detroit",42.3315509,-83.0466403,632948.081119893
384004399,"USA, Minnesota",45.9896587,-94.6113288,1148238.85565017
384004499,"USA, Mississippi",32.9715645,-89.7348497,289381.090642069
384006399,"USA, Missouri",38.7604815,-92.5617875,953209.476096675
384006499,"USA, Montana",47.3752671,-109.6387579,943896.606726164
384004799,"USA, Nebraska",41.7370229,-99.5873816,1391303.35389155
384004999,"USA, Nevada",39.5158825,-116.8537227,432889.024110972
384004899,"USA, New Hampshire",43.4849133,-71.6553992,85067.0049319687
384001599,"USA, New Jersey",40.0757384,-74.4041622,25603.7798838236
384000999,"USA, New Mexico",34.5708167,-105.993007,760937.883879686
384001699,"USA, New York State",43.1561681,-75.8449946,223962.9468275
384004599,"USA, North Carolina",35.6729639,-79.0392919,178115.80901216
384004699,"USA, North Dakota",47.6201461,-100.540737,1157186.81784776
384006599,"USA, Ohio",40.2253569,-82.6881395,500746.233557133
384006699,"USA, Oklahoma",34.9550817,-97.2684063,613718.375371276
384006799,"USA, Oregon",43.9792797,-120.737257,266574.016758243
384006899,"USA, Pennsylvania",40.9699889,-77.7278831,208421.017919797
